YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,9.40,190.00,2.20,120.00,76.00,32.80,7.00,55.00,214.20,31.40,105.60,21.00
2001,68.20,0.00,34.30,184.00,19.00,6.80,8.60,4.40,71.80,354.60,163.80,6.00
2002,0.00,5.20,38.00,94.40,50.20,5.90,6.40,23.80,15.40,249.10,90.20,14.80
2003,0.00,7.00,101.80,104.00,29.60,22.80,12.00,6.40,4.60,314.00,41.40,8.00
2004,0.00,0.00,13.00,59.40,40.60,10.20,3.00,6.00,135.00,137.40,123.00,0.00
2005,55.00,44.00,28.00,104.40,29.00,43.60,18.00,16.00,21.60,211.50,279.00,80.80
2006,0.00,0.00,131.80,68.20,14.00,0.00,2.00,10.40,11.00,157.60,123.60,0.00
2007,0.00,0.00,0.00,68.00,30.40,58.60,6.00,5.80,0.00,0.00,0.00,188.60
2008,1.20,8.10,193.20,54.40,10.50,7.80,7.80,89.20,44.20,183.90,37.60,22.60
2009,3.20,0.00,41.00,108.00,36.20,4.00,19.40,35.60,80.40,53.40,256.20,16.20
2010,4.80,0.00,0.00,108.40,0.00,41.60,91.40,31.80,54.60,210.40,288.20,15.80
2011,0.00,80.00,35.40,101.15,35.00,22.90,13.40,48.60,23.40,194.50,173.00,1.90
2012,20.00,0.00,4.00,71.20,12.60,9.00,2.00,25.00,1.00,198.40,133.20,35.00
2013,0.00,5.00,42.00,75.80,48.20,24.60,20.60,93.20,25.40,97.20,85.80,20.00
2014,0.80,0.60,101.80,55.60,90.90,5.20,5.20,69.00,57.60,336.60,77.80,59.00
2015,0.00,6.60,87.20,272.80,169.80,108.60,8.00,23.20,231.00,101.80,185.80,120.60
2016,0.00,0.20,7.40,3.60,77.00,16.20,51.26,3.00,0.00,88.20,27.00,15.20
2017,6.40,0.00,104.40,59.20,94.60,18.20,8.20,46.60,133.60,103.60,69.40,33.00
