YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,5.40,117.70,2.40,3.20,40.00,44.00,6.00,140.30,188.60,79.60,78.00,44.80
2001,25.30,0.00,31.00,67.30,4.70,20.00,40.80,11.20,73.70,185.10,138.00,11.80
2002,4.00,5.42,15.00,31.50,68.40,5.80,31.90,60.80,11.80,189.40,116.76,33.20
2003,0.00,31.20,85.40,72.00,54.80,29.00,26.90,21.50,35.00,256.30,105.20,9.60
2004,0.00,0.00,9.80,83.70,36.40,61.20,27.20,41.40,107.00,191.20,166.00,0.80
2005,0.00,2.60,42.00,197.60,188.80,39.20,45.60,10.60,17.00,160.40,69.00,199.00
2006,38.20,0.00,58.80,36.20,118.40,11.40,24.40,24.20,43.40,166.00,172.80,0.00
2007,16.80,0.00,0.00,59.00,47.30,65.80,58.60,33.40,58.80,340.40,31.00,202.20
2008,8.20,17.20,195.20,16.50,18.00,19.20,55.20,64.80,20.80,271.20,45.10,19.80
2009,19.20,0.00,1.40,37.40,72.60,19.20,40.60,10.20,35.60,74.00,312.00,16.80
2010,2.60,0.00,8.60,29.80,0.00,64.10,60.80,67.20,130.00,142.80,290.80,27.80
2011,0.00,98.40,27.00,150.50,32.50,52.80,39.60,49.40,15.40,332.20,158.00,13.60
2012,0.80,0.00,0.00,122.52,18.20,9.40,11.60,27.20,5.40,138.08,27.40,0.00
2013,0.00,65.40,25.20,51.00,88.90,14.00,52.00,92.00,20.00,95.00,152.00,89.00
2014,0.00,0.00,4.00,22.00,150.20,12.00,41.00,76.00,24.00,332.00,115.00,57.00
2015,0.00,2.00,12.00,138.00,226.00,35.00,16.00,23.00,134.00,28.00,262.00,81.00
2016,0.00,0.00,0.00,10.00,0.00,26.00,30.00,9.00,0.00,91.00,20.00,9.00
2017,20.00,0.00,18.00,33.00,89.00,40.00,23.00,24.00,160.00,166.00,84.00,110.00
