YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,12.00,126.00,66.00,91.00,50.10,92.00,43.00,178.00,122.00,61.00,101.00,30.00
2001,14.10,20.00,40.50,65.80,5.00,75.70,73.20,18.00,60.50,5.00,88.10,22.60
2002,0.00,7.50,78.00,43.00,78.00,13.50,55.20,62.60,18.50,296.00,100.00,60.00
2003,1.50,29.00,111.00,39.00,35.20,34.00,24.80,13.50,26.50,226.40,51.70,4.00
2004,0.00,0.00,7.00,112.30,75.60,97.70,14.90,63.70,119.30,162.00,85.80,2.00
2005,19.00,7.50,34.00,153.60,77.60,55.50,121.40,74.10,26.00,257.60,159.80,85.00
2006,14.00,0.00,78.50,23.00,99.20,51.50,44.30,34.60,60.20,166.50,119.00,0.00
2007,19.50,0.00,0.00,60.00,86.00,54.00,103.70,69.50,62.80,495.20,56.30,157.00
2008,4.10,53.40,190.70,9.60,16.80,15.40,73.20,356.80,38.20,175.10,43.70,25.80
2009,5.40,0.00,11.60,97.00,72.40,23.40,97.50,25.90,58.10,55.40,323.10,13.00
2010,5.00,0.00,1.00,54.10,29.00,126.40,115.20,67.60,100.30,124.70,245.10,23.40
2011,0.00,52.50,5.00,116.50,25.00,99.90,74.20,58.60,30.60,262.60,146.20,24.50
2012,3.40,0.00,0.00,59.50,10.50,20.90,39.00,72.00,16.50,162.30,45.60,16.20
2013,1.00,0.00,34.60,41.00,67.00,101.80,94.40,74.20,51.20,79.10,147.90,41.00
2014,0.00,0.00,0.00,0.00,104.00,26.00,69.00,103.50,28.70,309.80,142.00,59.60
2015,0.00,0.00,10.00,112.00,142.10,74.70,20.20,22.10,130.60,106.00,283.50,104.10
2016,0.00,2.00,1.00,11.50,79.50,66.60,0.00,6.50,0.00,93.60,15.00,15.50
2017,15.70,0.00,33.50,16.00,46.60,35.10,14.20,35.80,162.30,18.60,70.70,180.40
