YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,0.00,95.90,16.00,26.00,31.00,0.00,0.00,118.00,178.00,23.00,92.00,45.00
2001,7.00,0.00,0.00,223.00,35.00,25.00,16.00,8.00,185.00,79.00,123.00,2.00
2002,0.00,21.00,22.00,86.00,94.00,9.00,0.00,35.00,18.50,230.00,82.50,3.00
2003,0.00,7.00,162.00,110.00,36.00,7.00,5.50,46.00,35.00,325.00,66.00,2.00
2004,22.00,0.00,0.00,74.00,156.00,5.50,44.00,11.00,253.00,257.00,70.00,0.00
2005,2.00,45.00,78.00,245.00,38.00,52.00,88.00,19.00,249.00,249.00,272.00,135.00
2006,20.00,0.00,98.00,60.00,27.00,7.50,10.00,25.00,84.00,287.00,107.00,2.00
2007,0.00,0.00,0.00,157.90,0.00,92.00,41.00,93.00,0.00,345.20,36.00,240.00
2008,0.00,44.00,261.50,17.70,36.00,22.60,20.30,197.60,37.00,258.40,94.20,14.00
2009,7.00,1.00,69.00,29.40,51.00,20.30,32.50,42.00,84.20,25.60,330.90,28.00
2010,2.00,0.00,2.00,3.00,73.00,58.70,67.30,25.80,148.00,148.00,531.00,85.00
2011,0.40,38.80,24.00,186.50,8.40,9.50,36.00,46.70,68.70,279.60,266.00,46.00
2012,19.00,0.00,1.50,63.50,61.80,15.80,18.70,48.30,34.80,140.00,47.00,13.00
2013,0.00,68.00,148.30,4.40,47.30,20.40,13.50,61.80,62.30,129.20,27.00,33.00
2014,4.00,2.00,30.10,50.40,115.30,2.00,35.00,99.00,60.00,507.00,48.10,17.00
2015,8.00,0.00,43.50,219.00,183.50,9.50,46.70,98.50,192.00,22.00,350.90,55.00
2016,4.00,0.00,0.00,0.00,103.10,11.00,57.00,71.00,0.00,201.00,11.00,34.00
2017,38.00,0.00,207.00,43.00,101.00,31.00,6.10,166.00,241.00,192.00,43.00,65.00
