YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,22.90,124.20,0.00,52.00,70.40,8.00,4.50,113.50,251.90,45.10,0.00,103.30
2001,82.40,20.40,48.50,201.90,33.40,9.80,25.80,4.40,102.60,269.60,193.80,49.00
2002,0.00,29.70,5.30,36.00,56.50,7.40,0.00,26.70,65.60,272.50,235.10,41.40
2003,1.30,4.10,0.00,0.00,11.30,19.60,2.60,3.20,8.00,203.50,261.20,26.00
2004,0.00,0.00,0.00,59.10,32.50,37.20,7.80,15.80,88.80,271.50,229.20,1.00
2005,3.80,33.60,2.60,225.60,51.10,65.00,32.60,67.40,7.80,255.40,213.60,250.00
2006,32.80,0.00,143.80,58.20,46.00,18.50,0.50,12.00,151.00,281.40,351.00,3.00
2007,35.50,2.00,0.00,85.70,51.00,73.40,30.20,29.60,54.40,325.00,33.60,267.80
2008,5.20,59.30,248.40,56.00,94.44,8.40,24.60,100.60,15.40,248.80,95.10,28.20
2009,29.80,0.00,16.80,42.80,87.70,15.00,7.60,14.40,26.40,84.00,314.80,69.00
2010,10.20,0.00,29.60,73.40,83.40,22.40,27.80,4.20,105.00,183.00,313.20,107.20
2011,3.80,18.40,21.10,118.40,20.20,16.60,6.60,88.40,3.28,488.40,254.20,62.00
2012,38.00,0.00,10.20,47.00,0.06,2.20,10.80,5.20,20.80,287.00,103.00,9.00
2013,5.20,41.60,47.40,8.40,38.20,23.00,26.30,42.00,27.20,77.60,102.90,79.40
2014,6.40,0.00,28.80,8.20,163.00,17.80,12.40,27.00,42.80,281.40,167.86,140.52
2015,0.00,48.02,77.16,121.37,288.00,39.70,0.00,26.16,225.38,134.28,342.04,130.16
2016,0.06,0.00,0.00,0.00,116.20,11.74,37.60,0.00,0.00,106.40,17.40,37.28
2017,37.28,3.66,55.36,35.12,71.20,0.06,0.00,124.50,249.50,263.50,187.00,62.00
