YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,50.60,203.00,16.60,202.20,42.20,35.60,65.80,128.50,347.60,79.60,114.80,91.60
2001,1.60,8.40,17.20,243.60,35.80,8.40,46.00,0.00,223.20,417.00,294.60,0.00
2002,9.20,24.60,159.60,142.40,148.00,0.00,2.20,101.60,28.80,353.90,204.40,18.60
2003,0.00,5.20,249.80,51.20,22.50,29.20,33.10,35.80,24.00,278.40,140.40,0.00
2004,0.00,0.00,37.80,95.70,161.60,28.00,32.00,2.00,103.20,123.20,93.30,0.00
2005,13.30,130.00,122.60,182.60,41.00,19.20,21.80,26.00,40.40,268.00,260.40,125.80
2006,2.00,0.00,168.40,74.00,39.80,31.60,0.00,28.20,75.40,274.80,116.80,0.00
2007,7.00,3.00,14.80,94.40,25.00,61.60,14.10,42.40,45.00,341.80,38.00,208.80
2008,0.00,52.60,286.40,66.00,2.50,7.40,2.80,151.70,50.00,309.70,96.80,35.10
2009,19.20,0.00,100.30,41.10,57.80,2.80,6.00,47.40,156.20,114.00,371.40,33.00
2010,17.00,0.00,0.00,0.00,0.00,15.60,104.50,15.00,217.40,157.20,443.90,37.50
2011,0.00,76.80,7.00,136.20,19.00,8.00,24.50,49.50,22.00,181.50,311.60,181.50
2012,0.00,0.00,0.00,52.00,37.00,17.00,39.00,120.90,8.00,328.00,156.00,45.00
2013,0.00,143.00,133.00,43.00,152.50,5.00,10.00,153.00,86.40,235.40,67.60,37.40
2014,5.00,26.00,208.00,128.00,191.00,15.00,28.00,171.00,67.00,340.20,32.50,22.50
2015,25.00,0.00,112.00,315.20,170.00,51.00,10.00,50.00,257.50,55.60,254.50,39.40
2016,0.00,0.00,0.00,0.00,103.10,7.40,46.20,41.00,1.00,145.00,37.00,13.00
2017,29.00,0.00,101.40,0.00,14.00,5.00,0.00,66.90,293.30,90.00,23.00,96.00
