YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,4.80,85.00,29.20,35.20,28.10,27.40,3.50,58.70,120.20,12.90,94.60,70.00
2001,19.90,14.00,20.80,78.20,7.10,13.00,38.90,10.50,104.60,7.10,192.40,26.00
2002,0.00,12.70,0.00,51.20,67.20,9.60,40.00,38.60,3.20,277.40,79.40,24.00
2003,1.60,24.00,109.40,63.80,37.80,17.60,30.40,3.20,35.20,198.10,121.60,2.60
2004,0.00,0.00,3.80,75.80,10.00,20.30,4.00,38.50,105.00,193.00,208.90,1.00
2005,24.00,38.00,62.20,135.00,113.30,50.50,69.00,33.20,20.00,283.00,160.20,216.20
2006,28.00,0.00,78.50,19.00,114.00,27.00,9.00,29.00,72.00,171.00,263.00,0.00
2007,26.00,0.00,0.00,62.00,4.00,97.00,79.00,53.00,41.40,280.70,86.20,201.00
2008,0.00,20.00,252.00,40.00,3.00,38.00,46.00,111.00,22.00,312.20,77.00,18.00
2009,16.00,0.00,31.00,35.60,86.60,18.00,65.00,7.00,103.00,75.00,279.20,9.00
2010,7.00,0.00,3.00,64.00,49.00,24.00,33.00,13.00,109.00,171.00,235.00,29.00
2011,0.00,64.00,25.00,215.00,1.00,33.00,38.00,93.00,21.00,379.00,247.00,27.00
2012,8.00,0.00,0.00,129.00,12.00,17.00,10.40,34.60,1.00,173.00,52.00,22.00
2013,2.00,19.00,41.00,96.40,115.00,62.50,61.00,179.00,34.20,119.20,155.00,39.00
2014,3.00,1.00,58.00,0.00,248.00,1.00,64.00,168.00,69.00,390.00,205.00,71.00
2015,0.00,16.00,1.00,84.00,311.00,60.00,24.00,64.40,121.90,64.30,249.00,128.00
2016,0.00,0.00,14.20,23.00,104.00,30.90,0.00,15.20,0.40,102.80,17.80,18.80
2017,14.20,0.00,49.80,7.60,42.00,26.20,24.80,35.00,130.40,127.40,42.80,121.80
