YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,17.00,135.20,20.00,68.50,22.00,5.20,0.00,109.50,118.50,14.00,118.50,52.00
2001,78.00,5.00,0.00,94.00,14.00,5.00,12.00,0.00,90.50,14.00,45.00,14.00
2002,0.00,15.00,62.00,63.00,93.00,4.00,0.00,48.00,12.50,142.20,50.10,10.50
2003,0.00,0.00,51.00,50.50,23.00,7.00,11.00,9.10,13.40,168.40,55.80,12.50
2004,0.00,0.00,80.40,71.70,36.30,1.50,1.50,2.30,79.00,136.20,108.70,1.50
2005,2.50,33.40,19.00,80.60,81.00,41.00,42.00,12.00,5.00,125.00,113.20,107.50
2006,15.00,0.00,16.30,32.60,42.00,22.00,0.00,38.00,109.00,151.80,166.00,0.00
2007,1.00,0.00,15.00,56.00,67.80,54.00,53.00,18.00,53.00,322.00,47.00,213.00
2008,0.00,42.00,235.00,36.00,32.00,5.80,9.40,106.40,71.00,170.00,64.20,32.00
2009,0.00,1.00,47.00,13.00,79.00,2.00,2.00,23.00,37.00,65.00,233.00,13.60
2010,0.00,0.00,34.00,57.20,77.60,14.00,43.10,7.00,117.00,224.00,367.00,17.00
2011,0.00,56.00,38.00,98.00,16.00,1.00,6.00,74.00,29.00,275.00,211.00,74.00
2012,70.00,0.00,1.00,21.00,55.60,0.00,1.00,28.00,7.00,120.00,12.00,28.00
2013,0.00,15.00,47.00,18.60,52.70,7.00,1.00,45.20,11.80,175.20,38.60,20.00
2014,1.60,27.20,26.80,4.00,90.40,0.00,3.60,130.40,63.40,258.60,20.20,28.40
2015,2.00,3.20,16.20,162.40,198.60,32.60,0.00,37.00,152.40,63.80,265.80,24.60
2016,10.20,5.00,0.00,0.60,67.60,1.00,4.80,1.60,2.80,181.20,30.00,18.80
2017,25.00,0.00,113.40,2.60,113.30,5.40,4.40,89.00,145.20,149.60,41.20,75.20
