YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,13.00,65.00,106.80,114.80,55.00,5.00,46.20,102.10,107.80,5.00,120.00,51.00
2001,98.00,0.00,1.00,98.20,0.00,0.00,44.00,0.00,28.60,0.00,23.70,5.00
2002,0.00,7.00,41.00,102.00,65.00,1.00,0.00,81.00,0.00,143.80,46.60,0.00
2003,0.00,19.00,86.20,42.60,56.20,11.00,36.00,18.20,3.00,338.00,68.60,15.00
2004,0.00,0.00,19.00,82.60,12.00,30.00,4.00,10.80,78.20,171.80,132.40,2.00
2005,18.00,40.20,24.20,158.40,105.00,67.00,54.90,33.40,20.00,282.00,113.20,115.00
2006,7.20,0.00,135.00,39.80,99.00,22.00,0.30,16.00,102.00,128.00,242.50,0.00
2007,1.00,0.00,15.00,100.00,54.00,51.00,41.00,7.00,30.60,316.20,50.40,199.00
2008,0.00,43.00,252.00,91.00,37.00,2.00,2.60,71.00,61.00,236.00,36.70,16.00
2009,0.00,0.00,39.00,20.00,34.00,12.00,24.00,105.00,31.60,111.00,186.00,18.00
2010,0.00,0.00,9.00,131.00,103.00,26.00,78.00,13.60,104.00,238.00,321.00,45.00
2011,0.00,5.00,6.00,86.00,9.00,22.00,13.00,19.00,8.00,333.00,279.00,65.00
2012,36.00,0.00,7.00,78.50,12.00,4.00,4.00,25.00,4.00,203.00,83.00,2.00
2013,0.00,88.00,91.00,52.00,58.00,76.00,55.00,99.00,62.00,109.00,10.00,11.00
2014,2.00,6.00,44.00,8.80,173.00,0.00,74.00,138.00,77.00,282.00,66.00,56.00
2015,0.00,15.00,16.00,171.00,366.00,70.00,8.00,30.00,210.00,44.00,212.80,46.00
2016,0.00,0.00,0.00,20.20,142.00,0.00,0.00,4.00,6.00,146.00,28.00,10.00
2017,30.00,0.00,106.00,12.00,68.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
